label,text
negative,ราชภัฏ|-|ราชมงคล| |หารือ|เลิก|ธุรกรรม|ธ.|ไทยพาณิชย์|
negative,ที่ประชุม|อธิการบดี| |ม.|ราชภัฏ|ฯ| |เล็ง|ยกเลิก|ธุรกรรม|การเงิน|กับ| |ธ.|ไทยพาณิชย์| |หลัง|มี|ประกาศรับ|พนักงาน|
negative,เลขา|ฯ| |กก|อ.|เผย|การ|ที่| |ม.|ราชภัฏ| |จะ|ยกเลิก|ธุรกรรม|กับ|ธนาคาร|ไทยพาณิชย์|หรือไม่|เป็น|อำนาจ|ของ|แต่|ละ|มหาวิทยาลัย| |และ| |สกอ.|ไม่มี|อำนาจ|ไป|เกี่ยว|ข้อง|
positive,'|ม.|ราชภัฏ|'| |ทำ|ธุรกรรม|SCB|ต่อ|หลัง|ปรับความเข้าใจ| |ผู้บริหาร|ธนาคาร|ไทย|พาณิชย์| |ร่วม|ประชุม| |ม.|ราชภัฏ|-|ม.|เทคโนโลยี|ราช|มงคล|
negative,ดราม่า| |SCB| |กับ|เอมมี่|อวด|ตั๋ว|มัน|มี|จุด|ร่วม|ตรง|ที่|ก็|รู้กัน|อยู่|ว่า|เรื่อง|พวก|นี้|มัน|ถูก|ทำ|กัน|เป็น|ปกติ|เพียง|แต่|ทำ|กัน|เงียบ|ๆ| |ทั้งสอง|เรื่อง|โป๊ะ|เพราะ|ออก|สื่อ|
positive,เค้า|ไม่|ได้|เลือก|สถาบัน|นะ| |เลิก|ดราม่า| |scb| |ได้|ละ| |ก็|ตำแหน่ง|ที่|เค้า|รับ|มัน|มี|แค่| |14| |มหาลัย|นั้น|เปิด|สอน|โดย|ตรง| |มัน|ค่อนข้าง|ยาก| |ตำแหน่ง|นั้น|เค้า|เลย|ฟ|ิ|ค|
negative,ยัง|ดราม่า| |SCB| |กัน|อยู่|อีก|เหรอ| |งั้น|อีกหน่อย|จะ|รับ|สมัครงาน|ก็|ห้าม|ระบุ|เกรด|นะ| |แล้ว|ก็|อย่า|ไป|สมัครงาน|เมือง|นอก| |บริษัท|ดีๆ|แม่ง|บังคับ|ทั้ง|เกรด|ทั้ง|มหาลัย|เลย|
positive,SCB|เคลียร์|ใจ|'|ราชภัฏ|-|มทร.|'|ปม|ฉาว| |ย้ำ|'|สมัครงาน|'|ดู|ที่|ความสามารถ|
positive,เรื่อง|ดราม่า| |SCB| |นี่|เอา|จริง|ก็|สงสาร| |SCB| |นะ| |เป็น|แค่|ประกายไฟ| |(|iskra|)| |ตาม|ภาษา|ฝ่ายซ้าย| |คือ|มัน|มี|เชื้อ|ความไม่พอใจ|อยู่|เยอะ|แล้ว| |SCB| |แค่|ตัว|จุด|
positive,4|0|ม.|ราชภัฏ|มีมติ|ทำ|ธุรกรรม|กับ|SCB|ต่อ|หลัง|ปรับความเข้าใจ|กับ|ผู้บริหาร|ธนาคาร|
negative,ถึง|น้องๆ|ที่|เรียน|ราชภัฏ|และ|โดน|ดูถูก|จาก| |SCB| |จาก|ใจ|คน|จบ| |'|ราช|ภ|ั|ฎ|'| |เหมือน|กัน|ครับ|
positive,ตั้งแต่|มี|ดราม่า| |SCB| |เรา|ชอบ|บทความ|นี้|สุด|ละ| |จริงๆ|ขอ|ยก|ให้|เป็น|บทความ|ที่|ดี|ที่สุด|ที่|ได้|อ่าน|ใน|ปี|นี้|เลย|ด้วย| |อ่าน|เถอะ|ครับ|
positive,ความจริง|แล้ว| |SCB| |จะ|เลือก|รับ|ใคร|เข้า|ทำงาน|มัน|ก็|สิทธิ์|ของ|เค้า|ป่าว|
positive,40|ม.|ราชภัฏ|มีมติ|ทำ|ธุรกรรม|กับ|SCB|ต่อ|หลัง|ปรับความเข้าใจ|กับ|ผู้บริหาร|ธนาคาร
positive,เออ| |ความเห็น|นี้|ดี|อ|ะ| |เรื่อง|ดราม่า| |SCB|
positive,คน|ที่|เอา|มา|แชร์|เขาเข้า|ใจ|ผิด| |SCB| |ไม่|ได้|เจาะ|จง|รับ|แต่|ม.|ดัง| |ภาพ|ที่|เห็น|มัน|เป็น| |ต|น.|ทุน|นิ|
positive,"ธ.|ไทยพาณิชย์| |@|scb_thailand| |ปฏิเสธ|เอกสาร|แบ่ง|กลุ่ม|มหาวิทยาลัย|3|กลุ่ม| |ย้ำ|พ|นง|.|2|2|,|0|0|0|คน|มาจาก|หลาย|สถาบันการศึกษา|"
negative,ตอนนี้|พวก|นิสิต| |นักศึกษา| |ที่|โดน|เหน็บ|จาก|กรณี|SCB|นี่|น่าสงสาร|นะ| |อยู่|เฉย|ๆ|แท้|ๆ| |ไป|ด่า|พวก|นี้|ทำไม|ไม่|รุ|้| |เค้า|ไม่|ได้|เขียน|ประกาศ|เอง|นะ|เ|ว|่|ย| |ไป|ด่า|คน|คิด|ด|ิ|
negative,ดราม่า|SCB|ดูเหมือน|ยัง|ไม่|จบ| |บางที|ก็|รำ|นะ| |คือ|ก็|รู้|แล้ว|ไง| |ว่า|ใคร| |อะไร| |ที่ไหน| |เมื่อไหร่| |จะ|ดราม่า|จนได้|ถ้วย|กัน|เลย|เหรอ| |เบื่อ|นะ|
positive,ดราม่า| |SCB| |จางหาย|ไป|แบบ|รวดเร็ว|มาก| |ต้อง|ขอบคุณ|เอม|มี่|มอ|งาม|ๆ|
negative,เอา|ดีๆ|ยัง|ไม่|เคย|เห็น|เด็ก|ที่|เรียน|ม.|ดัง|ๆ|มา|ดูถูก|คน|ที่|เรียน|ม.|ทั่วไป|หรือ|เอกชน| |แต่|พอ|มี|ดราม่า| |scb| |ก็|มี|ม.|ทั่วไป|หรือ|เอกชน| |มา|ด่า|เด็ก|ม.|ดัง| |จน|เขา|ตอบโต้|นะ|
