Province,Count_of_no
เชียงใหม่,40
เชียงราย,9
เพชรบุรี,2
เพชรบูรณ์,3
เลย,5
แพร่,1
แม่ฮ่องสอน,5
กทม,1542
กระบี่,20
กาญจนบุรี,9
กาฬสินธุ์,3
ขอนแก่น,6
จันทบุรี,3
ฉะเชิงเทรา,17
ชลบุรี,91
ชัยภูมิ,3
ชุมพร,21
ตรัง,7
ตาก,3
นครนายก,2
นครปฐม,22
นครพนม,2
นครราชสีมา,19
นครศรีธรรมราช,12
นครสวรรค์,9
นนทบุรี,156
นราธิวาส,35
บุรีรัมย์,13
ปทุมธานี,39
ประจวบคีรีขันธ์,17
ปราจีนบุรี,8
ปัตตานี,91
พระนครศรีอยุธยา,4
พะเยา,3
พังงา,2
พัทลุง,14
พิษณุโลก,6
ภูเก็ต,220
มหาสารคาม,1
มุกดาหาร,4
ยโสธร,1
ยะลา,130
ร้อยเอ็ด,3
ระยอง,6
ราชบุรี,7
ลพบุรี,2
ลำปาง,4
ลำพูน,4
ศรีสะเกษ,8
สกลนคร,1
สงขลา,128
สตูล,18
สมุทรปราการ,116
สมุทรสงคราม,1
สมุทรสาคร,14
สระแก้ว,10
สระบุรี,5
สุโขทัย,3
สุพรรณบุรี,6
สุราษฎร์ธานี,18
สุรินทร์,9
หนองคาย,3
หนองบัวลำภู,4
อำนาจเจริญ,2
อุดรธานี,9
อุตรดิตถ์,3
อุทัยธานี,1
อุบลราชธานี,15
